,movie_title,labels
0,(500) Days of Summer,['Movie']
1,10 Cloverfield Lane,['Movie']
2,10 Things I Hate About You,['Movie']
3,102 Dalmatians,['Movie']
4,10th & Wolf,['Movie']
5,12 Angry Men,['Movie']
6,12 Rounds,['Movie']
7,12 Years a Slave,['Movie']
8,127 Hours,['Movie']
9,13 Going on 30,['Movie']
10,13 Hours: The Secret Soldiers of Benghazi,['Movie']
11,1408,['Movie']
12,15 Minutes,['Movie']
13,16 Blocks,['Movie']
14,17 Again,['Movie']
15,1911,['Movie']
16,1941,['Movie']
17,2 Fast 2 Furious,['Movie']
18,2 Guns,['Movie']
19,"20,000 Leagues Under the Sea",['Movie']
20,200 Cigarettes,['Movie']
21,2001: A Space Odyssey,['Movie']
22,2012,['Movie']
23,2046,['Movie']
24,21,['Movie']
25,21 & Over,['Movie']
26,21 Grams,['Movie']
27,21 Jump Street,['Movie']
28,22 Jump Street,['Movie']
29,25th Hour,['Movie']
30,27 Dresses,['Movie']
31,28 Days Later,['Movie']
32,28 Weeks Later,['Movie']
33,3 Days to Kill,['Movie']
34,3 Strikes,['Movie']
35,30 Days of Night,['Movie']
36,30 Minutes or Less,['Movie']
37,300,['Movie']
38,3000 Miles to Graceland,['Movie']
39,300: Rise of an Empire,['Movie']
40,3:10 to Yuma,['Movie']
41,"4 Months, 3 Weeks and 2 Days",['Movie']
42,42,['Movie']
43,42nd Street,['Movie']
44,47 Ronin,['Movie']
45,5 Days of War,['Movie']
46,50 First Dates,['Movie']
47,50/50,['Movie']
48,54,['Movie']
49,55 Days at Peking,['Movie']
50,8 Mile,['Movie']
51,88 Minutes,['Movie']
52,8MM,['Movie']
53,9,['Movie']
54,90 Minutes in Heaven,['Movie']
55,A Beautiful Mind,['Movie']
56,A Better Life,['Movie']
57,A Bridge Too Far,['Movie']
58,A Bug's Life,['Movie']
59,A Christmas Carol,['Movie']
60,A Cinderella Story,['Movie']
61,A Civil Action,['Movie']
62,A Dangerous Method,['Movie']
63,A Farewell to Arms,['Movie']
64,A Few Good Men,['Movie']
65,A Fistful of Dollars,['Movie']
66,A Good Day to Die Hard,['Movie']
67,A Good Year,['Movie']
68,A Guy Named Joe,['Movie']
69,A Guy Thing,['Movie']
70,A Hard Day's Night,['Movie']
71,A Haunted House,['Movie']
72,A History of Violence,['Movie']
73,A Home at the End of the World,['Movie']
