,movie_title_1,node_1_labels,relationship_type,movie_title_2,node_2_labels,similarity_score
0,(500) Days of Summer,['Movie'],SIMILAR,Agora,['Movie'],0.99979
1,(500) Days of Summer,['Movie'],SIMILAR,Alatriste,['Movie'],0.99979
2,(500) Days of Summer,['Movie'],SIMILAR,Amélie,['Movie'],0.99979
3,10 Cloverfield Lane,['Movie'],SIMILAR,102 Dalmatians,['Movie'],0.2122
4,10 Cloverfield Lane,['Movie'],SIMILAR,10th & Wolf,['Movie'],0.73356
5,10 Cloverfield Lane,['Movie'],SIMILAR,12 Rounds,['Movie'],0.73682
6,10 Cloverfield Lane,['Movie'],SIMILAR,1408,['Movie'],0.72547
7,10 Things I Hate About You,['Movie'],SIMILAR,102 Dalmatians,['Movie'],0.12077
8,10 Things I Hate About You,['Movie'],SIMILAR,12 Angry Men,['Movie'],0.90155
9,10 Things I Hate About You,['Movie'],SIMILAR,13 Going on 30,['Movie'],0.90419
10,10 Things I Hate About You,['Movie'],SIMILAR,15 Minutes,['Movie'],0.90105
11,102 Dalmatians,['Movie'],SIMILAR,10 Cloverfield Lane,['Movie'],0.2122
12,102 Dalmatians,['Movie'],SIMILAR,10 Things I Hate About You,['Movie'],0.12077
13,102 Dalmatians,['Movie'],SIMILAR,10th & Wolf,['Movie'],0.09411
14,10th & Wolf,['Movie'],SIMILAR,10 Cloverfield Lane,['Movie'],0.73356
15,10th & Wolf,['Movie'],SIMILAR,102 Dalmatians,['Movie'],0.09411
16,10th & Wolf,['Movie'],SIMILAR,13 Hours: The Secret Soldiers of Benghazi,['Movie'],0.95545
17,10th & Wolf,['Movie'],SIMILAR,1408,['Movie'],0.95686
18,10th & Wolf,['Movie'],SIMILAR,15 Minutes,['Movie'],0.95513
19,12 Angry Men,['Movie'],SIMILAR,10 Things I Hate About You,['Movie'],0.90155
20,12 Angry Men,['Movie'],SIMILAR,12 Rounds,['Movie'],0.98415
21,12 Angry Men,['Movie'],SIMILAR,16 Blocks,['Movie'],0.98357
22,12 Angry Men,['Movie'],SIMILAR,1941,['Movie'],0.9832
23,12 Rounds,['Movie'],SIMILAR,10 Cloverfield Lane,['Movie'],0.73682
24,12 Rounds,['Movie'],SIMILAR,12 Angry Men,['Movie'],0.98415
25,12 Rounds,['Movie'],SIMILAR,15 Minutes,['Movie'],0.98858
26,12 Rounds,['Movie'],SIMILAR,21,['Movie'],0.9884
27,12 Rounds,['Movie'],SIMILAR,21 Grams,['Movie'],0.98851
28,12 Years a Slave,['Movie'],SIMILAR,2046,['Movie'],0.99098
29,12 Years a Slave,['Movie'],SIMILAR,27 Dresses,['Movie'],0.99092
30,12 Years a Slave,['Movie'],SIMILAR,3:10 to Yuma,['Movie'],0.99095
31,127 Hours,['Movie'],SIMILAR,13 Hours: The Secret Soldiers of Benghazi,['Movie'],0.97719
32,127 Hours,['Movie'],SIMILAR,1408,['Movie'],0.97719
33,127 Hours,['Movie'],SIMILAR,15 Minutes,['Movie'],0.97649
34,13 Going on 30,['Movie'],SIMILAR,10 Things I Hate About You,['Movie'],0.90419
35,13 Going on 30,['Movie'],SIMILAR,21 & Over,['Movie'],0.99368
36,13 Going on 30,['Movie'],SIMILAR,27 Dresses,['Movie'],0.99375
37,13 Going on 30,['Movie'],SIMILAR,30 Minutes or Less,['Movie'],0.99352
38,13 Hours: The Secret Soldiers of Benghazi,['Movie'],SIMILAR,10th & Wolf,['Movie'],0.95545
39,13 Hours: The Secret Soldiers of Benghazi,['Movie'],SIMILAR,127 Hours,['Movie'],0.97719
40,13 Hours: The Secret Soldiers of Benghazi,['Movie'],SIMILAR,2 Guns,['Movie'],0.99483
41,13 Hours: The Secret Soldiers of Benghazi,['Movie'],SIMILAR,25th Hour,['Movie'],0.99497
42,13 Hours: The Secret Soldiers of Benghazi,['Movie'],SIMILAR,3 Strikes,['Movie'],0.99494
43,1408,['Movie'],SIMILAR,10 Cloverfield Lane,['Movie'],0.72547
44,1408,['Movie'],SIMILAR,10th & Wolf,['Movie'],0.95686
45,1408,['Movie'],SIMILAR,127 Hours,['Movie'],0.97719
46,1408,['Movie'],SIMILAR,2046,['Movie'],0.99615
47,1408,['Movie'],SIMILAR,21 Grams,['Movie'],0.99607
48,1408,['Movie'],SIMILAR,27 Dresses,['Movie'],0.99594
49,15 Minutes,['Movie'],SIMILAR,10 Things I Hate About You,['Movie'],0.90105
50,15 Minutes,['Movie'],SIMILAR,10th & Wolf,['Movie'],0.95513
51,15 Minutes,['Movie'],SIMILAR,12 Rounds,['Movie'],0.98858
52,15 Minutes,['Movie'],SIMILAR,127 Hours,['Movie'],0.97649
53,15 Minutes,['Movie'],SIMILAR,25th Hour,['Movie'],0.9969
54,15 Minutes,['Movie'],SIMILAR,30 Minutes or Less,['Movie'],0.99679
55,15 Minutes,['Movie'],SIMILAR,8 Mile,['Movie'],0.99658
56,16 Blocks,['Movie'],SIMILAR,12 Angry Men,['Movie'],0.98357
57,16 Blocks,['Movie'],SIMILAR,22 Jump Street,['Movie'],0.99697
58,16 Blocks,['Movie'],SIMILAR,27 Dresses,['Movie'],0.99695
59,16 Blocks,['Movie'],SIMILAR,55 Days at Peking,['Movie'],0.99699
60,17 Again,['Movie'],SIMILAR,21 & Over,['Movie'],0.99765
61,17 Again,['Movie'],SIMILAR,21 Jump Street,['Movie'],0.9976
62,17 Again,['Movie'],SIMILAR,22 Jump Street,['Movie'],0.99757
63,1911,['Movie'],SIMILAR,2046,['Movie'],0.99775
64,1911,['Movie'],SIMILAR,"4 Months, 3 Weeks and 2 Days",['Movie'],0.99778
65,1911,['Movie'],SIMILAR,5 Days of War,['Movie'],0.99805
66,1941,['Movie'],SIMILAR,12 Angry Men,['Movie'],0.9832
67,1941,['Movie'],SIMILAR,42nd Street,['Movie'],0.99812
68,1941,['Movie'],SIMILAR,88 Minutes,['Movie'],0.99812
69,1941,['Movie'],SIMILAR,Absolute Power,['Movie'],0.99814
70,2 Fast 2 Furious,['Movie'],SIMILAR,A Bug's Life,['Movie'],0.99956
71,2 Fast 2 Furious,['Movie'],SIMILAR,A Dangerous Method,['Movie'],0.99956
72,2 Fast 2 Furious,['Movie'],SIMILAR,Agent Cody Banks 2: Destination London,['Movie'],0.99956
73,2 Guns,['Movie'],SIMILAR,13 Hours: The Secret Soldiers of Benghazi,['Movie'],0.99483
74,2 Guns,['Movie'],SIMILAR,A Fistful of Dollars,['Movie'],0.99958
75,2 Guns,['Movie'],SIMILAR,Agent Cody Banks 2: Destination London,['Movie'],0.99959
76,2 Guns,['Movie'],SIMILAR,Annie Get Your Gun,['Movie'],0.99959
77,"20,000 Leagues Under the Sea",['Movie'],SIMILAR,A Dangerous Method,['Movie'],0.99828
78,"20,000 Leagues Under the Sea",['Movie'],SIMILAR,A Farewell to Arms,['Movie'],0.99825
79,"20,000 Leagues Under the Sea",['Movie'],SIMILAR,Absolute Power,['Movie'],0.99828
80,200 Cigarettes,['Movie'],SIMILAR,50 First Dates,['Movie'],0.99867
81,200 Cigarettes,['Movie'],SIMILAR,54,['Movie'],0.99867
82,200 Cigarettes,['Movie'],SIMILAR,Abraham Lincoln: Vampire Hunter,['Movie'],0.99865
83,2001: A Space Odyssey,['Movie'],SIMILAR,300,['Movie'],0.99846
84,2001: A Space Odyssey,['Movie'],SIMILAR,90 Minutes in Heaven,['Movie'],0.9985
85,2001: A Space Odyssey,['Movie'],SIMILAR,A.I. Artificial Intelligence,['Movie'],0.99847
86,2012,['Movie'],SIMILAR,90 Minutes in Heaven,['Movie'],0.99884
87,2012,['Movie'],SIMILAR,After Earth,['Movie'],0.99883
88,2012,['Movie'],SIMILAR,Battle of the Year,['Movie'],0.99878
