,movie_title,closeness
0,102 Dalmatians,0.1279281352
1,10 Cloverfield Lane,0.1377512824
2,10 Things I Hate About You,0.1439173145
3,10th & Wolf,0.1461648833
4,127 Hours,0.1458027894
5,12 Angry Men,0.1481614496
6,12 Rounds,0.1520193511
7,12 Years a Slave,0.1591697211
8,13 Going on 30,0.1617770437
9,13 Hours: The Secret Soldiers of Benghazi,0.1569997438
10,1408,0.1565171982
11,15 Minutes,0.160898658
12,16 Blocks,0.1618589459
13,17 Again,0.1523846472
14,1911,0.164268718
15,1941,0.1637982422
16,"20,000 Leagues Under the Sea",0.1672311145
17,2001: A Space Odyssey,0.164089888
18,200 Cigarettes,0.1646707162
19,2012,0.1676951859
20,2046,0.1670463727
21,21,0.1624889155
22,21 Grams,0.1661654006
23,21 Jump Street,0.1628558127
24,21 & Over,0.1638021834
25,22 Jump Street,0.1699886938
26,25th Hour,0.1645894298
27,27 Dresses,0.1740379878
28,28 Days Later,0.1591362212
29,28 Weeks Later,0.1607750042
30,2 Fast 2 Furious,0.1646111062
31,2 Guns,0.1722698856
32,300,0.1670078232
33,3000 Miles to Graceland,0.16514501
34,300: Rise of an Empire,0.16828131
35,30 Days of Night,0.1693381563
36,30 Minutes or Less,0.1781493551
37,3:10 to Yuma,0.1701272502
38,3 Days to Kill,0.173334491
39,3 Strikes,0.1681014947
40,42,0.1737538549
41,42nd Street,0.1700175135
42,47 Ronin,0.1763165933
43,"4 Months, 3 Weeks and 2 Days",0.1720855133
44,(500) Days of Summer,0.1675220212
45,50/50,0.1721356399
46,50 First Dates,0.1793900811
47,54,0.1771620949
48,55 Days at Peking,0.1767315234
49,5 Days of War,0.1816844511
50,88 Minutes,0.1783171007
51,8 Mile,0.1757798567
52,8MM,0.1733641729
53,9,0.1818120462
54,90 Minutes in Heaven,0.1786275901
55,Abandon,0.1728090854
56,Abduction,0.1769883145
57,A Beautiful Mind,0.1774071857
58,A Better Life,0.1733236529
59,About a Boy,0.1724774122
60,About Last Night,0.1747424699
61,About Schmidt,0.1737318091
62,Abraham Lincoln: Vampire Hunter,0.1739591647
63,A Bridge Too Far,0.1744866641
64,Absolute Power,0.1775091632
65,A Bug's Life,0.175792296
66,Ace Ventura: Pet Detective,0.1665715862
67,Ace Ventura: When Nature Calls,0.1778923177
68,A Christmas Carol,0.1752873351
69,A Cinderella Story,0.1595830613
70,A Civil Action,0.1683655523
71,Action Jackson,0.1785415004
