,title,budget,genres,id,keywords,overview,popularity,vote_average,vote_count,cast,director,executive_producer,writer,original_music_composer,director_photography,production_country,production_company,languages
0,102 Dalmatians,85000000,Comedy Family,10481,london england prison release from prison women's prison society for the prevention of cruelty to animals,"Get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail! In an unlikely alliance, the outrageous Waddlesworth... a parrot who thinks he's a Rottweiler... teams up with Oddball... an un-marked Dalmation puppy eager to earn her spots! Together they embark on a laugh-packed quest to outwit the ever-scheming Cruella De Vil",9.895061,5.1,313,Glenn Close Ioan Gruffudd Alice Evans Tim McInnerny G\u00e9rard Depardieu,Kevin Lima,,,,['Adrian Biddle'],['United States of America'],"['Walt Disney Pictures', 'Cruella Productions']",['English']
1,10 Cloverfield Lane,15000000,Thriller Science Fiction Drama,333371,kidnapping bunker paranoia basement survivalist,"After a car accident, Michelle awakens to find herself in a mysterious bunker with two men named Howard and Emmett. Howard offers her a pair of crutches to help her remain mobile with her leg injury sustained from the car crash and tells her to ""get good on those"" before leaving the bunker. She has been given the information that there has been an alien attack and the outside world is poisoned. However, Howard and Emmett's intentions soon become questionable and Michelle is faced with a question: Is it better in here or out there?",53.698682999999996,6.8,2468,Mary Elizabeth Winstead John Goodman John Gallagher Jr. Bradley Cooper Douglas M. Griffin,Dan Trachtenberg,,,,['Jeff Cutter'],['United States of America'],"['Bad Robot', 'Spectrum Effects', 'Paramount Pictures']",['English']
2,10 Things I Hate About You,16000000,Comedy Romance Drama,4951,shakespeare sister high school cannabis deception,"Bianca, a tenth grader, has never gone on a date, but she isn't allowed to go out with boys until her older sister Kat gets a boyfriend. The problem is, Kat rubs nearly everyone the wrong way. But Bianca and the guy she has her eye on, Joey, are eager, so Joey fixes Kat up with Patrick, a new kid in town just bitter enough for Kat.",54.550275,7.3,1701,Heath Ledger Julia Stiles Joseph Gordon-Levitt Larisa Oleynik David Krumholtz,Gil Junger,"['Seth Jaret', 'Jeffrey Chernov']","['Karen McCullah Lutz', 'Kirsten Smith']",['Richard Gibbs'],['Mark Irwin'],['United States of America'],"['Jaret Entertainment', 'Mad Chance', 'Touchstone Pictures']","['Français', 'English']"
3,10th & Wolf,8000000,Action Crime Drama Mystery Thriller,13197,undercover mafia mobster crime family,"A former street tough returns to his Philadelphia home after a stint in the military. Back on his home turf, he once again finds himself tangling with the mob boss who was instrumental in his going off to be a soldier.",3.9424639999999997,6.3,24,James Marsden Brian Dennehy Leo Rossi Dennis Hopper Giovanni Ribisi,Robert Moresco,,"['Robert Moresco', 'Allan Steele']",,,['United States of America'],['Thinkfilm'],['English']
4,127 Hours,18000000,Adventure Drama Thriller,44115,mountains despair adventure utah alone,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,52.464877,7.0,2606,James Franco Kate Mara Amber Tamblyn Cl\u00e9mence Po\u00e9sy Lizzy Caplan,Danny Boyle,"['Cameron McCracken', 'Bernard Bellew', 'Fran\\u00e7ois Ivernel', 'Tessa Ross', 'Diarmuid McKeown', 'Lisa Maria Falcone', 'John J. Kelly']",,['A. R. Rahman'],"['Enrique Chediak', 'Anthony Dod Mantle']","['United States of America', 'United Kingdom']","['Film4', 'Warner Bros.', 'Everest Entertainment', 'Pathé', 'Cloud Eight Films', 'HandMade Films', 'Fox Searchlight Pictures']",['English']
5,12 Angry Men,350000,Drama,389,judge jurors sultriness death penalty father murder,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",59.259204000000004,8.2,2078,Henry Fonda Martin Balsam John Fiedler Lee J. Cobb E.G. Marshall,Sidney Lumet,,,['Kenyon Hopkins'],['Boris Kaufman'],['United States of America'],"['United Artists', 'Orion-Nova Productions']",['English']
6,12 Rounds,20000000,Action Adventure Drama Thriller,17134,police cops cat and mouse family revenge drama,"When New Orleans cop Danny Fisher prevents a brilliant thief from successfully carrying out his latest heist, the thief's girlfriend is accidentally killed. Hungry for revenge, the criminal mastermind breaks out of prison and kidnaps Danny's fiancee. To save her, Danny must successfully navigate his way through an elaborate series of tasks and puzzles, or else watch the love of his life die.",15.66135,5.7,220,John Cena Aidan Gillen Ashley Scott Steve Harris Brian J. White,Renny Harlin,['Becki Cross Trujillo'],['Daniel Kunka'],,['David Boyd'],['United States of America'],"['Midnight Sun Pictures', 'WWE Studios', '20th Century Fox Home Entertainment', 'Fox Atomic', 'The Mark Gordon Company']","['English', 'Český']"
7,12 Years a Slave,20000000,Drama History,76203,whip kidnapping slavery plantation night shift,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",95.9229,7.9,3674,Chiwetel Ejiofor Michael Fassbender Lupita Nyong'o Benedict Cumberbatch Paul Dano,Steve McQueen,"['Tessa Ross', 'John Ridley']",,['Hans Zimmer'],['Sean Bobbitt'],"['United Kingdom', 'United States of America']","['New Regency Pictures', 'Plan B Entertainment', 'River Road Entertainment', 'Film4', 'Regency Enterprises']",['English']
8,13 Going on 30,37000000,Comedy Fantasy Romance,10096,new york photographer editor-in-chief wish michael jackson,"After total humiliation at her thirteenth birthday party, Jenna Rink wants to just hide until she's thirty. With a little magic, her wish is granted, but it turns out that being thirty isn't as always as awesome as she thought it would be!",41.569541,6.3,1204,Jennifer Garner Mark Ruffalo Judy Greer Andy Serkis Kathy Baker,Gary Winick,"['Dan Kolsrud', 'Todd Garner']",,['Theodore Shapiro'],['Don Burgess'],['United States of America'],"['Thirteen Productions', 'Columbia Pictures', 'Revolution Studios']","['English', 'Português', 'Français']"
9,13 Hours: The Secret Soldiers of Benghazi,50000000,Action Drama History Thriller War,300671,based on novel assault rifle mercenary libya biography,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,42.526529,7.0,938,James Badge Dale John Krasinski Max Martini Pablo Schreiber Toby Stephens,Michael Bay,"['Matthew Cohan', 'Richard Abate', 'Scott Gardenhour']",,['Lorne Balfe'],['Dion Beebe'],"['Malta', 'United States of America', 'Morocco']","['Bay Films', 'Dune Films', 'Paramount Pictures', 'Latina Pictures', '3 Arts Entertainment']","['العربية', 'English']"
10,1408,25000000,Horror Thriller,3021,suicide new york hotel fire hotel room,"A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",35.169779,6.5,1343,John Cusack Samuel L. Jackson Mary McCormack Jasmine Jessica Anthony Tony Shalhoub,Mikael H\u00e5fstr\u00f6m,"['Jake Myers', 'Bob Weinstein', 'Harvey Weinstein', 'Richard Saperstein']",,,['Beno\\u00eet Delhomme'],['United States of America'],"['Dimension Films', 'Di Bonaventura Pictures', 'The Weinstein Company']",['English']
11,15 Minutes,60000000,Action Crime Thriller,2749,new york female nudity prison prostitute rape,"When Eastern European criminals Oleg and Emil come to New York City to pick up their share of a heist score, Oleg steals a video camera and starts filming their activities, both legal and illegal. When they learn how the American media circus can make a remorseless killer look like the victim and make them rich, they target media-savvy NYPD Homicide Detective Eddie Flemming and media-naive FDNY Fire Marshal Jordy Warsaw, the cops investigating their murder and torching of their former criminal partner, filming everything to sell to the local tabloid TV show ""Top Story.""",15.205371,5.7,191,Robert De Niro Charlize Theron Edward Burns Kelsey Grammer Avery Brooks,John Herzfeld,['Claire Rudnick Polstein'],['John Herzfeld'],"['J. Peter Robinson', 'Anthony Marinelli']","['Jean-Yves Escoffier', 'Robert Poole', 'Hisham Abed']","['Germany', 'United States of America']","['Tribeca Productions', 'New Redemption Pictures', 'New Line Cinema', 'Industry Entertainment']","['Pусский', 'ελληνικά', 'English', 'Český']"
12,16 Blocks,55000000,Action Adventure Crime Thriller,2207,mission of murder male bonding doing the right thing people change,"An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse, but they find themselves running the gauntlet as other forces try to prevent them from getting there.",32.31022,6.2,661,Bruce Willis Yasiin Bey David Morse Jenna Stern David Zayas,Richard Donner,,['Richard Wenk'],['Klaus Badelt'],['Glen MacPherson'],"['Germany', 'United States of America']","['Nu Image Entertainment GmbH', 'Equity Pictures Medienfonds GmbH & Co. KG III', ""Donners' Company"", 'Emmett/Furla Films', 'Cheyenne Enterprises', 'Millennium Films', 'Alcon Entertainment', '16 Block Productions']",['English']
13,17 Again,20000000,Comedy,16996,high school bullying high school sports fake identity adult as a child,"On the brink of a midlife crisis, 30-something Mike O'Donnell wishes he could have a ""do-over."" And that's exactly what he gets when he wakes up one morning to find he's 17 years old again. With his adult mind stuck inside the body of a teenager, Mike actually has the chance to reverse some decisions he wishes he'd never made. But maybe they weren't so bad after all.",52.571674,6.1,1350,Zac Efron Leslie Mann Matthew Perry Tyler Steelman Allison Miller,Burr Steers,,,['Rolfe Kent'],['Tim Suhrstedt'],['United States of America'],"['Offspring Entertainment', 'New Line Cinema']",['English']
14,1911,30000000,Adventure Drama Action History War,76349,martial arts sword revolution blood gunfight,"At the beginning of the 20th century, China is in a state of crisis. The country is split into warring factions, the citizens are starving, and recent political reforms have made matters worse, not better. The ruling Qing Dynasty, led by a seven-year-old emperor, and his ruthless mother, Empress Dowager Longyu is completely out of touch after 250 years of unquestioned power. Huang Xing has recently returned from Japan, where he has studied the art of modern warfare. When he finds his country falling apart, he feels he has no choice but to pick up the sword.",4.065212,5.0,41,Jackie Chan Li Bingbing Joan Chen Jaycee Chan Sun Chun,Jackie Chan,,"['Wang Xing-Dong', 'Chen Bao-Guang']",,,"['China', 'Hong Kong']",['Variance Films'],"['普通话', 'Français', 'English']"
15,1941,35000000,Action Comedy,11519,submarine california world war ii war ship pearl harbor,"It's been six days since the attack on Pearl Harbor. Panic grips California, supposedly the next target of the Japanese forces. Everywhere in California, people are suffering from war nerves. Chaos erupts all over the state. An Army Air Corps Captain, a civilian with a deranged sense of Nationalism, civilian defenders, and a Motor Pool crew all end up chasing a Japanese sub planning to attack LA.",10.032625999999999,5.6,143,Dan Aykroyd Ned Beatty John Belushi Lorraine Gary Murray Hamilton,Steven Spielberg,['John Milius'],['Robert Zemeckis'],,['William A. Fraker'],['United States of America'],"['Columbia Pictures', 'Universal Pictures', 'A-Team']","['Deutsch', '日本語', 'English']"
16,"20,000 Leagues Under the Sea",5000000,Adventure Drama Science Fiction,173,diving ocean submarine jules verne captain,"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",9.358197,6.8,157,Kirk Douglas James Mason Paul Lukas Peter Lorre Robert J. Wilke,Richard Fleischer,,,['Paul J. Smith'],['Franz Planer'],['United States of America'],['Walt Disney Productions'],['English']
17,2001: A Space Odyssey,10500000,Science Fiction Mystery Adventure,62,moon jupiter artificial intelligence man vs machine technology,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",86.201184,7.9,2998,Keir Dullea Gary Lockwood William Sylvester Douglas Rain Daniel Richter,Stanley Kubrick,,,,['Geoffrey Unsworth'],"['United States of America', 'United Kingdom']","['Metro-Goldwyn-Mayer (MGM)', 'Stanley Kubrick Productions']","['Pусский', 'English']"
18,200 Cigarettes,6000000,Comedy Drama Romance,15256,new year's eve independent film relationship woman director lower east side,"A collection of twentysomethings try to cope with relationships, loneliness, desire and their individual neuroses.",3.5611980000000005,6.1,44,Ben Affleck Casey Affleck Dave Chappelle Kate Hudson Janeane Garofalo,Risa Bramon Garcia,,['Shana Larsen'],,,['United States of America'],['Paramount Pictures'],['English']
