name,id,movie
Ingenious Film Partners,289,Avatar
Twentieth Century Fox Film Corporation,306,Avatar
Dune Entertainment,444,Avatar
Lightstorm Entertainment,574,Avatar
Walt Disney Pictures,2,Pirates of the Caribbean: At World's End
Jerry Bruckheimer Films,130,Pirates of the Caribbean: At World's End
Second Mate Productions,19936,Pirates of the Caribbean: At World's End
Columbia Pictures,5,Spectre
Danjaq,10761,Spectre
B24,69434,Spectre
Legendary Pictures,923,The Dark Knight Rises
Warner Bros.,6194,The Dark Knight Rises
DC Entertainment,9993,The Dark Knight Rises
Syncopy,9996,The Dark Knight Rises
Walt Disney Pictures,2,John Carter
Columbia Pictures,5,Spider-Man 3
Laura Ziskin Productions,326,Spider-Man 3
Marvel Enterprises,19551,Spider-Man 3
Walt Disney Pictures,2,Tangled
Walt Disney Animation Studios,6125,Tangled
Marvel Studios,420,Avengers: Age of Ultron
Prime Focus,15357,Avengers: Age of Ultron
Revolution Sun Studios,76043,Avengers: Age of Ultron
Warner Bros.,6194,Harry Potter and the Half-Blood Prince
Heyday Films,7364,Harry Potter and the Half-Blood Prince
DC Comics,429,Batman v Superman: Dawn of Justice
Atlas Entertainment,507,Batman v Superman: Dawn of Justice
Warner Bros.,6194,Batman v Superman: Dawn of Justice
DC Entertainment,9993,Batman v Superman: Dawn of Justice
Cruel & Unusual Films,9995,Batman v Superman: Dawn of Justice
RatPac-Dune Entertainment,41624,Batman v Superman: Dawn of Justice
DC Comics,429,Superman Returns
Legendary Pictures,923,Superman Returns
Warner Bros.,6194,Superman Returns
Bad Hat Harry Productions,9168,Superman Returns
Eon Productions,7576,Quantum of Solace
Walt Disney Pictures,2,Pirates of the Caribbean: Dead Man's Chest
Jerry Bruckheimer Films,130,Pirates of the Caribbean: Dead Man's Chest
Second Mate Productions,19936,Pirates of the Caribbean: Dead Man's Chest
Walt Disney Pictures,2,The Lone Ranger
Jerry Bruckheimer Films,130,The Lone Ranger
Infinitum Nihil,2691,The Lone Ranger
Silver Bullet Productions (II),37380,The Lone Ranger
Blind Wink Productions,37381,The Lone Ranger
Classic Media,37382,The Lone Ranger
Legendary Pictures,923,Man of Steel
Warner Bros.,6194,Man of Steel
DC Entertainment,9993,Man of Steel
Syncopy,9996,Man of Steel
Cruel and Unusual Films,78685,Man of Steel
Walt Disney,5888,The Chronicles of Narnia: Prince Caspian
Walden Media,10221,The Chronicles of Narnia: Prince Caspian
Stillking Films,11345,The Chronicles of Narnia: Prince Caspian
Ozumi Films,11440,The Chronicles of Narnia: Prince Caspian
Propeler,11441,The Chronicles of Narnia: Prince Caspian
Silverbell Films,11442,The Chronicles of Narnia: Prince Caspian
Revolution Sun Studios,76043,The Chronicles of Narnia: Prince Caspian
Paramount Pictures,4,The Avengers
Marvel Studios,420,The Avengers
Walt Disney Pictures,2,Pirates of the Caribbean: On Stranger Tides
Jerry Bruckheimer Films,130,Pirates of the Caribbean: On Stranger Tides
Moving Picture Company (MPC),20478,Pirates of the Caribbean: On Stranger Tides
Amblin Entertainment,56,Men in Black 3
Media Magik Entertainment,5627,Men in Black 3
Imagenation Abu Dhabi FZ,6736,Men in Black 3
Hemisphere Media Capital,9169,Men in Black 3
Parkes/MacDonald Productions,11084,Men in Black 3
WingNut Films,11,The Hobbit: The Battle of the Five Armies
New Line Cinema,12,The Hobbit: The Battle of the Five Armies
Warner Bros. Pictures,174,The Hobbit: The Battle of the Five Armies
3Foot7,7413,The Hobbit: The Battle of the Five Armies
Metro-Goldwyn-Mayer (MGM),8411,The Hobbit: The Battle of the Five Armies
Columbia Pictures,5,The Amazing Spider-Man
Laura Ziskin Productions,326,The Amazing Spider-Man
Marvel Entertainment,7505,The Amazing Spider-Man
Imagine Entertainment,23,Robin Hood
Universal Pictures,33,Robin Hood
Scott Free Productions,1645,Robin Hood
Relativity Media,7295,Robin Hood
WingNut Films,11,The Hobbit: The Desolation of Smaug
New Line Cinema,12,The Hobbit: The Desolation of Smaug
Warner Bros. Pictures,174,The Hobbit: The Desolation of Smaug
Metro-Goldwyn-Mayer (MGM),8411,The Hobbit: The Desolation of Smaug
New Line Cinema,12,The Golden Compass
Ingenious Film Partners,289,The Golden Compass
Depth of Field,1473,The Golden Compass
Scholastic Productions,1938,The Golden Compass
WingNut Films,11,King Kong
Universal Pictures,33,King Kong
Big Primate Pictures,68,King Kong
MFPV Film,69,King Kong
Paramount Pictures,4,Titanic
Twentieth Century Fox Film Corporation,306,Titanic
Lightstorm Entertainment,574,Titanic
Studio Babelsberg,264,Captain America: Civil War
Marvel Studios,420,Captain America: Civil War
Walt Disney Studios Motion Pictures,3036,Captain America: Civil War
Vita-Ray Dutch Productions (III),84424,Captain America: Civil War
Deluxe Digital Studios,84425,Captain America: Civil War
Universal Pictures,33,Battleship
Hasbro,2598,Battleship
Bluegrass Films,13778,Battleship
Film 44,20153,Battleship
Universal Studios,13,Jurassic World
Amblin Entertainment,56,Jurassic World
Legendary Pictures,923,Jurassic World
Fuji Television Network,3341,Jurassic World
Dentsu,6452,Jurassic World
Columbia Pictures,5,Skyfall
Columbia Pictures,5,Spider-Man 2
Laura Ziskin Productions,326,Spider-Man 2
Marvel Enterprises,19551,Spider-Man 2
Marvel Studios,420,Iron Man 3
Walt Disney Pictures,2,Alice in Wonderland
Team Todd,598,Alice in Wonderland
